"111138";"Emoce a interpersonální vztahy";"Ivan Slaměník";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111138.jpg";"0";"Publikace objasňuje problematiku emocí v historickém průřezu klíčových koncepcí až po současné pojetí, které připisuje při vzniku a vysvětlování emocí rozhodující roli poznávacím procesům..."
"111140";"Komunikace zaměřená na člověka";"Renate Motschnig, Ladislav Nykl";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111140.jpg";"0";"Kniha představuje první komplexní základy komunikace ve smyslu humanistické psychologie Carla Rogerse..."
"111141";"Mezopotámie";"Michael Kerrigan";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111141.jpg";"0";"Před čtyřmi tisíci lety zaznamenávali zruční písaři v zemi mezi řekami Tigris a Eufrat slova a skutky dávných vládců sumerské a akkadské říše. Jak asi vypadal svět starověkých obyvatel Mezopotámie? ..."
"111143";"Sociální práce ve zdravotnictví";"Iva Kuzníková a kol.";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111143.jpg";"0";"Kniha je určena pracovníkům profese sociální práce, včetně sociální práce ve zdravotnictví, a studentům sociální práce a zdravotnických oborů..."
"111144";"Síla myšlenky II.";"Antonie Krzemieňová";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111144.jpg";"0";"Jako loutka na provázku, ryba na udičce nebo moucha v pavoučí síti... Tak se obvykle cítí lidé, kteří jsou obětí manipulací. Má myšlenka takovou sílu, že jí lze ovládnout jiného člověka? Kde lze k manipulaci přijít? Patřím k rizikové skupině? ..."
"111145";"Řím";"Michael Kerrigan";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111145.jpg";"0";"Starověká římská civilizace trvala téměř tisíc let. V době, kdy dosáhla vrcholu, sahala římská říše od Británie na severozápadě Evropy po Egypt a Sýrii na Středním východě..."
"111146";"Starověké Řecko";"Sean Callery";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111146.jpg";"0";"Objevte temnou pravdu o starověkém Řecku, o civilizaci považované za kolébku demokracie. Tuto společnost tvořili z velké části otroci a vládli jí obávaní panovníci a tyrani..."
"111148";"Řecko";"Michael Kerrigan";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111148.jpg";"0";"Rozkvět první známé civilizace ve Středomoří začal ve třetím tisíciletí před naším letopočtem. Zrodila se na Krétě a v Mykénách a dál se rozvíjela v Athénách, Korintu a Makedonii..."
"111150";"Vůdcovství";"Slavomír Steigauf";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111150.jpg";"0";"Každý z nás je konfrontovaný s rolí vůdce, ať už při vedení jako šéf týmu nebo v soukromí jako manžel, rodič nebo člen jakékoliv komunity, zkrátka všude tam, kde je skupina lidí. Chcete vědět, jak se stát úspěšným lídrem a ovlivňovat druhé? ..."
"111151";"Velká kniha astrologie";"Sue Tompkinsová";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111151.jpg";"0";"Tato praktická příručka po krátkém teoretickém úvodu srozumitelně a naprosto přehledně vysvětluje úplně všechny aspekty radixu, a to po jednotlivých živlech, prvcích, znameních, planetách a domech..."
